ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;28;;;20210309;28;;0;0;0;0;CHF;20210309;28;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;26.03
ACHIKO N;CH0522213468;ACHI;52221346;0.324;0.33;0.32;20210311;0.329;0.33;179409;0;0;179409;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.665;1.715;1.61;20210311;1.72;1.67;139104;0;0;139104;CHF;20200810;2.95;20200318;0.95;20070522;;XSWX;RS;CH;0;1.92
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;168;;;20210310;168;;0;0;0;0;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;173.74
AEVIS N;CH0478634105;AEVS;47863410;12.45;12.45;12.1;20210311;12.2;12.3;6331;0;0;6331;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.31
AIRESIS N;CH0010947627;AIRE;1094762;0.79;0.79;0.79;20210311;0.76;0.79;640;0;0;640;CHF;20200313;1.09;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;188.8;188.8;187;20210311;188;187;19132;0;256;19388;CHF;20200313;207.5;20200323;159.8;20000303;;XSWX;RS;CH;0;194.93
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.5;;;20210310;14.5;;0;0;0;0;CHF;20210310;14.7;20200319;11.4;20040902;;XSWX;RS;CH;0;13.84
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.4;;;20210217;14.3;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.8
ALSO N;CH0024590272;ALSN;2459027;271.5;278.5;271.5;20210311;272.5;275;10944;0;484;11428;CHF;20210311;278.5;20200319;123;20060323;;XSWX;RS;CH;0;250.16
